Provisional_Death_Counts_for_Influenza__Pneumonia__and_COVID-19_20240928 (1),,,,,,,,,,,,,
Data As Of,Start Week,End Week,Jurisdiction,Age Group,Total Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Month-Year,,,,,,
11/02/2023,01/05/2020,01/11/2020,HHS Region 2,All Ages,4855,400,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,HHS Region 3,All Ages,6227,409,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,HHS Region 4,All Ages,13702,1062,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,HHS Region 5,All Ages,10472,746,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,HHS Region 6,All Ages,7411,652,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,HHS Region 7,All Ages,2882,225,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,HHS Region 8,All Ages,1889,129,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,HHS Region 9,All Ages,7968,624,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,HHS Region 10,All Ages,2408,157,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,United States,All Ages,59217,4522,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Alabama,All Ages,1076,70,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Alaska,All Ages,103,,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Arizona,All Ages,1262,75,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Arkansas,All Ages,660,48,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,California,All Ages,5793,571,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Colorado,All Ages,834,66,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Connecticut,All Ages,637,45,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Delaware,All Ages,182,12,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,District of Columbia,All Ages,102,,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Florida,All Ages,4277,287,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Georgia,All Ages,1733,119,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Hawaii,All Ages,209,23,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Idaho,All Ages,292,17,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Illinois,All Ages,2309,154,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Indiana,All Ages,1378,107,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Iowa,All Ages,634,53,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Kansas,All Ages,600,49,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Kentucky,All Ages,1045,115,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Louisiana,All Ages,950,53,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Maine,All Ages,303,28,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Maryland,All Ages,1002,95,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Massachusetts,All Ages,1164,103,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Michigan,All Ages,1968,125,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Minnesota,All Ages,950,70,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Mississippi,All Ages,648,48,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Missouri,All Ages,1270,84,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Montana,All Ages,212,12,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Nebraska,All Ages,323,36,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Nevada,All Ages,586,41,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,New Hampshire,All Ages,245,16,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,New Jersey,All Ages,1509,100,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,New Mexico,All Ages,414,34,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,New York,All Ages,2186,208,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,New York City,All Ages,1131,117,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,North Carolina,All Ages,1874,149,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,North Dakota,All Ages,159,,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Ohio,All Ages,2474,166,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Oklahoma,All Ages,871,81,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Oregon,All Ages,776,59,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Pennsylvania,All Ages,2848,176,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Rhode Island,All Ages,205,,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,South Carolina,All Ages,1090,84,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,South Dakota,All Ages,167,16,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Tennessee,All Ages,1498,148,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Texas,All Ages,4208,335,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Utah,All Ages,402,21,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Vermont,All Ages,139,11,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Virginia,All Ages,1495,84,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Washington,All Ages,1216,80,Jan-2020,,,,,,
